momento,21-NAFTA.KPI
datetime,float
T,
03/26/2018 00:00:00,12.93466187
03/26/2018 00:00:30,12.85204601
03/26/2018 00:01:00,12.85204601
03/26/2018 00:01:30,12.85204601
03/26/2018 00:02:00,12.85204601
03/26/2018 00:02:30,12.85204601
03/26/2018 00:03:00,12.85204601
03/26/2018 00:03:30,12.85204601
03/26/2018 00:04:00,12.85204601
03/26/2018 00:04:30,12.85204601
03/26/2018 00:05:00,12.85204601
03/26/2018 00:05:30,12.85204601
03/26/2018 00:06:00,12.85204601
03/26/2018 00:06:30,12.85204601
03/26/2018 00:07:00,12.85204601
03/26/2018 00:07:30,12.85204601
03/26/2018 00:08:00,12.85204601
03/26/2018 00:08:30,12.85204601
03/26/2018 00:09:00,12.85204601
03/26/2018 00:09:30,12.85204601
03/26/2018 00:10:00,12.85204601
03/26/2018 00:10:30,12.85204601
03/26/2018 00:11:00,12.85204601
03/26/2018 00:11:30,12.85204601
03/26/2018 00:12:00,12.85204601
03/26/2018 00:12:30,12.85204601
03/26/2018 00:13:00,12.85204601
03/26/2018 00:13:30,12.85204601
03/26/2018 00:14:00,12.85204601
03/26/2018 00:14:30,12.85204601
03/26/2018 00:15:00,12.85204601
03/26/2018 00:15:30,12.33432198
03/26/2018 00:16:00,12.33432198
03/26/2018 00:16:30,12.33432198
03/26/2018 00:17:00,12.33432198
03/26/2018 00:17:30,12.33432198
03/26/2018 00:18:00,12.33432198
03/26/2018 00:18:30,12.33432198
03/26/2018 00:19:00,12.33432198
03/26/2018 00:19:30,12.33432198
03/26/2018 00:20:00,12.33432198
03/26/2018 00:20:30,12.33432198
03/26/2018 00:21:00,12.33432198
03/26/2018 00:21:30,12.33432198
03/26/2018 00:22:00,12.33432198
03/26/2018 00:22:30,12.33432198
03/26/2018 00:23:00,12.33432198
03/26/2018 00:23:30,12.33432198
03/26/2018 00:24:00,12.33432198
03/26/2018 00:24:30,12.33432198
03/26/2018 00:25:00,12.33432198
03/26/2018 00:25:30,12.33432198
03/26/2018 00:26:00,12.33432198
03/26/2018 00:26:30,12.33432198
03/26/2018 00:27:00,12.33432198
03/26/2018 00:27:30,12.33432198
03/26/2018 00:28:00,12.33432198
03/26/2018 00:28:30,12.33432198
03/26/2018 00:29:00,12.33432198
03/26/2018 00:29:30,12.33432198
03/26/2018 00:30:00,12.33432198
03/26/2018 00:30:30,11.8329525
03/26/2018 00:31:00,11.8329525
03/26/2018 00:31:30,11.8329525
03/26/2018 00:32:00,11.8329525
03/26/2018 00:32:30,11.8329525
03/26/2018 00:33:00,11.8329525
03/26/2018 00:33:30,11.8329525
03/26/2018 00:34:00,11.8329525
03/26/2018 00:34:30,11.8329525
03/26/2018 00:35:00,11.8329525
03/26/2018 00:35:30,11.8329525
03/26/2018 00:36:00,11.8329525
03/26/2018 00:36:30,11.8329525
03/26/2018 00:37:00,11.8329525
03/26/2018 00:37:30,11.8329525
03/26/2018 00:38:00,11.8329525
03/26/2018 00:38:30,11.8329525
03/26/2018 00:39:00,11.8329525
03/26/2018 00:39:30,11.8329525
03/26/2018 00:40:00,11.8329525
03/26/2018 00:40:30,11.8329525
03/26/2018 00:41:00,11.8329525
03/26/2018 00:41:30,11.8329525
03/26/2018 00:42:00,11.8329525
03/26/2018 00:42:30,11.8329525
03/26/2018 00:43:00,11.8329525
03/26/2018 00:43:30,11.8329525
03/26/2018 00:44:00,11.8329525
03/26/2018 00:44:30,11.8329525
03/26/2018 00:45:00,11.8329525
03/26/2018 00:45:30,12.09150696
03/26/2018 00:46:00,12.09150696
03/26/2018 00:46:30,12.09150696
03/26/2018 00:47:00,12.09150696
03/26/2018 00:47:30,12.09150696
03/26/2018 00:48:00,12.09150696
03/26/2018 00:48:30,12.09150696
03/26/2018 00:49:00,12.09150696
03/26/2018 00:49:30,12.09150696
03/26/2018 00:50:00,12.09150696
03/26/2018 00:50:30,12.09150696
03/26/2018 00:51:00,12.09150696
03/26/2018 00:51:30,12.09150696
03/26/2018 00:52:00,12.09150696
03/26/2018 00:52:30,12.09150696
03/26/2018 00:53:00,12.09150696
03/26/2018 00:53:30,12.09150696
03/26/2018 00:54:00,12.09150696
03/26/2018 00:54:30,12.09150696
03/26/2018 00:55:00,12.09150696
03/26/2018 00:55:30,12.09150696
