momento,vibracao
datetime,float
T,
01/11/2018 15:17:27;0.093022607
01/11/2018 15:19:31,0.434105515
01/11/2018 15:20:33,0.085270725
01/12/2018 08:17:21,0.124030143
01/12/2018 08:18:23,2.170527458
01/12/2018 08:20:27,1.782933354
01/12/2018 09:33:49,1.713166356
01/12/2018 10:08:57,1.961226702
01/12/2018 15:12:45,2.023241758
01/12/2018 18:01:11,2.124016285
01/12/2018 18:03:15,1.829444647
01/12/2018 18:04:17,2.100760698
01/12/2018 18:18:45,2.054249287
01/12/2018 18:20:49,2.302309513
01/12/2018 18:35:17,2.240294456
01/12/2018 19:23:51,2.116264343
01/12/2018 19:26:57,2.085256815
01/12/2018 19:29:01,2.085256815
01/12/2018 19:30:03,2.488354921
01/12/2018 19:32:07,2.093008757
01/12/2018 20:41:21,2.286805868
01/12/2018 20:42:23,2.06975317
01/12/2018 23:17:23,2.209286928
01/13/2018 00:59:41,2.116264343
01/13/2018 04:28:25,2.131768227
01/13/2018 04:31:31,2.372076511
01/13/2018 04:32:33,2.131768227
01/13/2018 09:16:43,2.21703887
01/13/2018 11:08:19,2.170527458
01/13/2018 11:09:21,2.744167089
01/13/2018 11:11:25,2.744167089
01/13/2018 11:12:27,2.1782794
01/13/2018 20:06:41,2.116264343
01/14/2018 05:19:31,2.1782794
01/14/2018 10:46:03,2.317813396
01/14/2018 13:39:39,2.093008757
01/14/2018 13:40:41,1.480609894
01/14/2018 13:42:45,1.480609894
01/14/2018 13:43:47,2.062001228
01/14/2018 15:00:15,2.201534986
01/14/2018 19:49:35,2.620136738
01/14/2018 20:18:31,2.689903736
01/14/2018 20:20:35,2.449595451
01/14/2018 21:47:23,2.744167089
01/14/2018 22:40:05,2.58912921
01/14/2018 22:43:11,2.317813396
01/14/2018 22:46:17,2.689903736
01/14/2018 23:30:43,2.682152033
01/14/2018 23:35:53,2.558121681
01/15/2018 00:30:39,2.604633093
01/15/2018 00:36:51,2.534866095
01/15/2018 00:39:57,2.790678263
01/15/2018 02:28:27,2.48060298
01/15/2018 02:33:37,2.038745642
01/15/2018 02:34:39,2.44184351
01/15/2018 03:58:21,2.356572866
01/15/2018 04:04:33,2.58912921
01/15/2018 05:25:09,2.581377506
01/15/2018 05:28:15,2.372076511
01/15/2018 07:48:47,2.565873623
01/15/2018 07:52:55,2.372076511
01/15/2018 07:53:57,2.58912921
01/15/2018 08:23:55,2.581377506
01/15/2018 08:56:59,2.457347393
01/15/2018 09:05:15,2.612385035
01/15/2018 12:32:57,2.658896208
01/15/2018 13:13:15,2.29455781
01/15/2018 19:22:09,2.503858566
01/15/2018 19:49:01,2.449595451
01/15/2018 19:50:03,2.186031342
01/15/2018 20:05:33,2.093008757
01/15/2018 20:06:35,2.44184351
01/15/2018 20:22:05,2.573625565
01/15/2018 20:25:11,2.356572866
01/15/2018 20:58:15,2.410835981
01/15/2018 23:06:23,2.263550282
01/15/2018 23:07:25,2.620136738
01/15/2018 23:08:27,2.356572866
01/15/2018 23:31:11,2.302309513
01/15/2018 23:33:15,2.581377506
01/15/2018 23:34:17,2.310061455
01/16/2018 00:23:53,2.62788868
01/16/2018 00:25:57,2.333317041
01/16/2018 00:26:59,2.620136738
01/16/2018 01:21:45,2.581377506
01/16/2018 01:22:47,2.348820925
01/16/2018 01:46:33,2.248046398
01/16/2018 01:47:35,1.798437119
01/16/2018 01:49:39,2.193783283
01/16/2018 02:22:43,2.29455781
01/16/2018 02:24:47,1.999986053
01/16/2018 02:45:27,2.147271872
01/16/2018 02:47:31,2.527114153
01/16/2018 02:49:35,2.170527458
01/16/2018 03:23:41,2.162775755
01/16/2018 04:06:03,2.387580395
01/16/2018 04:19:29,2.108512402
01/16/2018 04:28:47,2.131768227
01/16/2018 04:29:49,2.51936245
01/16/2018 04:38:05,2.085256815
01/16/2018 05:08:03,2.124016285
01/16/2018 05:13:13,2.131768227
01/16/2018 05:56:37,2.29455781
01/16/2018 07:26:31,2.25579834
01/16/2018 08:35:45,1.95347476
01/16/2018 10:00:29,1.999986053
01/16/2018 10:14:57,2.201534986
01/16/2018 10:15:59,1.99223423
01/16/2018 14:30:11,2.06975317
01/16/2018 18:03:03,2.077504873
01/16/2018 18:04:05,0.093022607
01/16/2018 18:09:15,0.108526379
