momento,posicao
datetime,float
T,
01/14/2018 01:02:03,0
01/14/2018 00:00:01,0,000016
01/14/2018 00:00:02,0.000048
01/14/2018 00:00:03,0.000096
01/14/2018 00:00:04,0.00016
01/14/2018 00:00:05,0.00024
01/14/2018 00:00:06,0.000336
01/14/2018 00:00:07,0.000448
01/14/2018 00:00:08,0.000576
01/14/2018 00:00:09,0.00072
01/14/2018 00:00:10,0.00088
01/14/2018 00:00:11,0.001056
01/14/2018 00:00:12,0.001248
01/14/2018 00:00:13,0.001456
01/14/2018 00:00:14,0.00168
01/14/2018 00:00:15,0.00192
01/14/2018 00:00:16,0.002176
01/14/2018 00:00:17,0.002448
01/14/2018 00:00:18,0.002736
01/14/2018 00:00:19,0.00304
01/14/2018 00:00:20,0.00336
01/14/2018 00:00:21,0.003696
01/14/2018 00:00:22,0.004048
01/14/2018 00:00:23,0.004416
01/14/2018 00:00:24,0.0048
01/14/2018 00:00:25,0.0052
01/14/2018 00:00:26,0.005616
01/14/2018 00:00:27,0.006048
01/14/2018 00:00:28,0.006496
01/14/2018 00:00:29,0.00696
01/14/2018 00:00:30,0.00744
01/14/2018 00:00:31,0.007936
01/14/2018 00:00:32,0.008448
01/14/2018 00:00:33,0.008976
01/14/2018 00:00:34,0.00952
01/14/2018 00:00:35,0.01008
01/14/2018 00:00:36,0.010656
01/14/2018 00:00:37,0.011248
01/14/2018 00:00:38,0.011856
01/14/2018 00:00:39,0.01248
01/14/2018 00:00:40,0.01312
01/14/2018 00:00:41,0.013776
01/14/2018 00:00:42,0.014448
01/14/2018 00:00:43,0.015136
01/14/2018 00:00:44,0.01584
01/14/2018 00:00:45,0.01656
01/14/2018 00:00:46,0.017296
01/14/2018 00:00:47,0.018048
01/14/2018 00:00:48,0.018816
01/14/2018 00:00:49,0.0196
01/14/2018 00:00:50,0.0204
01/14/2018 00:00:51,0.021216
01/14/2018 00:00:52,0.022048
01/14/2018 00:00:53,0.022896
01/14/2018 00:00:54,0.02376
01/14/2018 00:00:55,0.02464
01/14/2018 00:00:56,0.025536
01/14/2018 00:00:57,0.026448
01/14/2018 00:00:58,0.027376
01/14/2018 00:00:59,0.02832
01/14/2018 00:01:00,0.02928
01/14/2018 00:01:01,0.030256
01/14/2018 00:01:02,0.031248
01/14/2018 00:01:03,0.032256
01/14/2018 00:01:04,0.03328
01/14/2018 00:01:05,0.03432
01/14/2018 00:01:06,0.035376
01/14/2018 00:01:07,0.036448
01/14/2018 00:01:08,0.037536
01/14/2018 00:01:09,0.03864
01/14/2018 00:01:10,0.03976
01/14/2018 00:01:11,0.040896
01/14/2018 00:01:12,0.042048
01/14/2018 00:01:13,0.043216
01/14/2018 00:01:14,0.0444
01/14/2018 00:01:15,0.0456
01/14/2018 00:01:16,0.046816
01/14/2018 00:01:17,0.048048
01/14/2018 00:01:18,0.049296
01/14/2018 00:01:19,0.05056
01/14/2018 00:01:20,0.05184
01/14/2018 00:01:21,0.053136
01/14/2018 00:01:22,0.054448
01/14/2018 00:01:23,0.055776
01/14/2018 00:01:24,0.05712
01/14/2018 00:01:25,0.05848
01/14/2018 00:01:26,0.059856
01/14/2018 00:01:27,0.061248
01/14/2018 00:01:28,0.062656
01/14/2018 00:01:29,0.06408
01/14/2018 00:01:30,0.06552
01/14/2018 00:01:31,0.066976
01/14/2018 00:01:32,0.068448
01/14/2018 00:01:33,0.069936
01/14/2018 00:01:34,0.07144
01/14/2018 00:01:35,0.07296
01/14/2018 00:01:36,0.074496
01/14/2018 00:01:37,0.076048
01/14/2018 00:01:38,0.077616
01/14/2018 00:01:39,0.0792
01/14/2018 00:01:40,0.0808
01/14/2018 00:01:41,0.082416
01/14/2018 00:01:42,0.084048
01/14/2018 00:01:43,0.085696
01/14/2018 00:01:44,0.08736
01/14/2018 00:01:45,0.08904
01/14/2018 00:01:46,0.090736
01/14/2018 00:01:47,0.092448
01/14/2018 00:01:48,0.094176
01/14/2018 00:01:49,0.09592
01/14/2018 00:01:50,0.09768
01/14/2018 00:01:51,0.099456
01/14/2018 00:01:52,0.101248
01/14/2018 00:01:53,0.103056
01/14/2018 00:01:54,0.10488
01/14/2018 00:01:55,0.10672
01/14/2018 00:01:56,0.108576
01/14/2018 00:01:57,0.110448
01/14/2018 00:01:58,0.112336
